start,end
0,41471
41620,66982
80203,126263
152725,175725
189321,273900
273931,314661
322711,409762
409847,523200
523349,546002
564285,594481
594630,620482
624270,651054
658266,683063
683134,735162
735704,787367
799449,828891
867215,926459
926549,1021772
1027281,1094087
1094209,1115800
1115911,1141973
1142084,1174520
1193527,1404619
1415311,1465620
1465713,1514592
1514959,1538087
1538236,1628461
1628555,1669842
1677040,1837971
1838025,1992195
1992329,2044679
2044796,2079009
2096875,2119242
2126869,2174192
2194122,2259460
2261214,2314119
2316992,2388951
2403611,2433742
2433792,2459895
2487483,2533700
2533749,2639797
2665339,2701975
2702044,2800099
2808426,2839121
2839247,2981251
3004323,3083150
3085960,3132022
3135240,3162345
3168949,3219894
3233663,3254734
3254824,3278800
3283899,3332177
3332239,3423759
3424807,3508959
3524891,3546879
3552353,3575408
3587719,3681856
3681955,3711979
3712066,3747547
3747610,3789132
3789248,3829990
3862988,4019990
4020060,4239760
4239861,4274247
4274342,4306275
4306578,4343190
4347831,4383907
4415519,4450779
4450861,4470962
4525170,4568533
4570957,4669216
4673060,4769344
4796412,4839598
4840713,4861754
4885649,4930954
4934990,4978684
4978991,5011156
5046999,5098958
5110701,5261913
5264984,5334712
5354274,5388820
5389044,5419847
5419908,5509028
5509170,5561741
5566488,5657318
5671725,5706885
5706981,5751272
5765904,5803092
5834425,5858332
5858616,5909879
5928086,5957206
5987170,6012596
6026825,6051991
6052089,6139076
6141724,6171588
6182547,6281081
6294635,6354024
6391592,6425689
6425805,6448080
6501059,6556818
6577101,6627242
6646001,6731973
6732170,6756243
6793200,6839064
6858428,6881228
6881359,6910158
6910307,6953571
6997571,7088201
7098933,7212867
7213013,7236444
7246505,7274099
7281103,7311292
7346830,7397569
7403795,7428467
7453638,7499508
7512150,7538775
7538924,7574122
7574191,7638204
7672509,7700539
7718166,7751707
7767547,7841504
7851362,7926601
7926814,8002455
8028657,8058939
8061506,8136304
8136444,8171832
8172056,8193174
8205400,8231731
8253165,8277056
8277166,8310229
8322366,8453296
8457035,8605512
8608927,8927142
8940017,8994748
9008989,9060779
9063687,9096629
9096716,9118388
9118644,9140415
9140523,9196813
9197110,9250107
9250192,9277659
9277758,9334706
9334802,9362756
9367011,9440471
9477765,9526176
9539447,9562401
9562540,9585660
9585743,9628607
9628706,9674271
9701286,9725532
9725758,9757508
9757596,9875696
9875916,9898846
9914428,9944486
9956950,9985270
9985435,10007978
10008101,10085099
10085248,10140515
10193767,10227656
10236680,10298994
10311309,10422420
10427691,10450489
10450574,10505286
10506344,10566277
10576156,10652719
10654002,10689640
10690309,10809558
10828296,10856119
10856180,10902912
10919539,10940134
10981674,11020167
11039173,11083147
11107579,11136289
11136473,11163420
11166123,11210982
11236133,11286257
11295601,11353130
11354207,11391563
11435810,11474031
11474252,11494936
11524523,11550413
11594598,11652109
11659673,11681471
11726098,11785170
11842327,11871300
11920775,11956477
11956647,11992606
12012876,12042839
12042988,12086709
12086828,12176924
12218543,12304806
12304931,12342569
12342710,12401262
12429812,12522529
12556053,12594346
12594812,12782066
12798805,12954202
12954426,13050339
13050487,13077817
13090212,13164319
13167962,13200140
13218387,13331408
13333300,13435784
13443846,13487415
13487466,13562160
13562216,13600847
13602278,13709270
13709428,13870265
13870336,14013791
14034086,14225102
14225173,14290750
14290804,14385304
14385409,14492028
14496778,14611292
14611387,14655535
14655916,14694701
14699942,14764060
14780933,14863987
14875262,14907870
14907995,15012323
15012455,15165647
15165742,15187344
15188094,15234446
15235460,15256342
15256411,15289703
15318561,15398733
15398796,15485657
15485714,15507656
15524764,15593964
15604384,15691463
15691580,15723478
15727041,15793415
15793487,15931332
15933424,16005805
16005954,16031887
16032001,16338507
16338628,16382402
16400967,16428729
16428854,16492572
16492795,16577306
16577387,16682007
16682078,16775182
16776159,17117868
17142989,17166375
17166458,17195991
17196057,17220003
17226365,17267783
17280169,17366630
17366821,17406917
17407044,17451530
17451714,17493717
