start,end
0,138965
152725,322632
322703,343389
343446,373521
373603,477757
477838,551929
561648,605217
624269,653902
654361,683055
683144,736529
743762,784513
784607,828004
842891,867056
878127,926459
926549,985684
985826,1021303
1035986,1141973
1142084,1174520
1193527,1361338
1388287,1487971
1488016,1508701
1514945,1538087
1538236,1569711
1574961,1628479
1629987,1651899
1651954,1689060
1689209,1789565
1789712,1837971
1838025,1900987
1908702,2083612
2083761,2160278
2176877,2226976
2227029,2260095
2262107,2303147
2316992,2388949
2408635,2432538
2439357,2459895
2495268,2559581
2559999,2639809
2679668,2713893
2713953,2734970
2735038,2800090
2805708,2890642
2890843,2981251
3014941,3085288
3087334,3115242
3115766,3166157
3166306,3201459
3203707,3231685
3231763,3258455
3258486,3278546
3278656,3357169
3357258,3424160
3450735,3513761
3524902,3552189
3552260,3578889
3587691,3634982
3635120,3676058
3681951,3709405
3709456,3805237
3806561,3837639
3858398,4027728
4027811,4059931
4061723,4110054
4110124,4238173
4260391,4389804
4390308,4447438
4548350,4570698
4581180,4670104
4677811,4705843
4725454,4774067
4774216,4816946
4817263,4861765
4885649,4975715
4977288,5018972
5074104,5155938
5160393,5230890
5231039,5264904
5280136,5317260
5355714,5380408
5395158,5415967
5416111,5494603
5521552,5582041
5611629,5649272
5669019,5727770
5738105,5765841
5765904,5814724
5839754,5860905
5863087,5909879
5987099,6015507
6035298,6061939
6062071,6098209
6117876,6140884
6141064,6177533
6178231,6204039
6204256,6363149
6364826,6389970
6390098,6438154
6438281,6478305
6501059,6556814
6577101,6645512
6664555,6751615
6751707,6773627
6786178,6809739
6809875,6839307
6843029,6873460
6873512,6920781
6925034,6953571
6959120,6983933
6997808,7083872
7099618,7188962
7212968,7235559
7236654,7275209
7276872,7319973
7348577,7384952
7428756,7453424
7468599,7491551
7499643,7538344
7538487,7617932
7619610,7657145
7686237,7757275
7757351,7849637
7851362,7885488
7885570,7924162
7924303,7948012
7948171,7981988
7982352,8002465
8005647,8043909
8080965,8133417
8133472,8175041
8181763,8233500
8261150,8289712
8289860,8322308
8341407,8378820
8378941,8428614
8428739,8598000
8637035,8752805
8752860,8845774
8846093,8920426
8960955,8994746
9008244,9079210
9079459,9115372
9130829,9191261
9197111,9334629
9334721,9362301
9362381,9444639
9477699,9511395
9539447,9559621
9559700,9585660
9585743,9609893
9611843,9816163
9825421,9874628
9874741,9898492
9920083,9944477
9985413,10007978
10008101,10051992
10052021,10114525
10129196,10174395
10193180,10222036
10222243,10311231
10311302,10332659
10332799,10420863
10421187,10464386
10464483,10499919
10503934,10568909
10574910,10613888
10614057,10657153
10657297,10758172
10758234,10802712
10802827,10840863
10847596,10902908
10919461,10973202
10994248,11020167
11045791,11112001
11112189,11149633
11149770,11172410
11176246,11211827
11211962,11298659
11309234,11354057
11354196,11391563
11391655,11431352
11435764,11455812
11499229,11523879
11524523,11549793
11572671,11593653
11593740,11649463
11656407,11680801
11680934,11710499
11719075,11748939
11749074,11783071
11793446,11817387
11822162,11842187
11901373,11928478
11928596,11995528
12012667,12047001
12059040,12112937
12134145,12166856
12205165,12319457
12319627,12342315
12365179,12390526
12429812,12463865
12463996,12536497
12552133,12594346
12594831,12670683
12670786,12691322
12691371,12740443
12740469,12782066
12795708,13071109
13090638,13217897
13239077,13435785
13443496,13487415
13487466,13562160
13562216,13632077
13632703,13680008
13680190,14013805
14034090,14146637
14146699,14225095
14225184,14277312
14290804,14313084
14327121,14394130
14408962,14452441
14464320,14576622
14576693,14611307
14621580,14764848
14765034,14869945
14908055,14934821
14937128,14958931
14972072,14996721
15059685,15096097
15096299,15187338
15187725,15256342
15256411,15308680
15318559,15398733
15398796,15567251
15567339,15604312
15604383,15649207
15649360,15691463
15691580,15793408
15799113,15853103
15853207,15931342
15933232,16005604
16022632,16156908
16165267,16190569
16192891,16214390
16214461,16337010
16337128,16382431
16400214,16440498
16440553,16473085
16473167,16583742
16592943,16670866
16684454,16740693
16756084,16802501
16803632,16855413
16855562,16930183
16930367,17092861
17092927,17117927
17118020,17252225
17252351,17309307
17309387,17344048
17344114,17421786
17439169,17472075
17473422,17493717
