start,end
0,58691
58711,1356736
1356756,2388245
2388265,2613381
2613401,2783442
2783462,3146885
3146905,3429534
3429554,3661121
3661141,3739052
3739072,3852315
3852335,4323307
4323327,4630304
4630324,4786735
4792077,4814197
5230611,5252887
5450256,5479369
5532933,5560394
5682359,5705619
6307774,6343409
6343429,6379883
6520684,6544957
6575072,6598924
6598944,6627094
6658738,6679678
6679698,6742697
6742717,6765381
6775440,6802267
6872334,6892386
6892406,6928876
6995894,7017591
7017611,7049407
7124092,7185433
7185454,7250886
7284093,7328079
7349605,7431568
7431588,7530659
7540014,7600861
7600881,7631287
7641702,7713341
7713361,7733937
7734655,7755982
7756003,7807268
7823314,7980299
7988664,8031141
8032853,8055911
8055931,8173416
8173436,8253856
8253876,8518193
8523811,8612532
8612552,8765058
8779951,8913744
8913764,8990481
9025231,9080280
9080300,9116905
9141421,9188563
9188583,9272173
9272193,9305610
9305630,9384336
9384356,9405316
9405336,9466844
9479062,9520763
9520783,9546116
9600509,9668198
9669210,10009452
10020355,10083891
10091151,10269390
10278181,10318429
10318449,10347297
10347317,10391733
10391753,10441331
10451863,10504698
10504718,10540865
10540885,10572927
10572947,10609061
10609081,10693264
10711503,10786991
10795522,10887134
10887154,11228513
11228533,11275628
11276816,11401964
11401984,11426134
11426154,11507507
11507527,12001030
12001609,12062143
12062163,12121388
12121408,12157797
12167562,12213660
12213680,12262096
12268668,12348873
12348893,12377808
12386920,12464520
12470954,12535086
12547401,12740312
12740332,12768876
12768896,12868163
12868183,12927392
12943707,12970955
12974423,13009637
13009657,13074828
13074848,13197962
13197982,13362168
13362192,13433218
13433238,13547035
13547055,13568952
13772021,13796983
14056186,14085611
14764458,14800729
15005535,15051564
15442291,15465695
15510323,15533986
16294587,16319306
16396608,16433318
16479987,16508195
16838709,16870187
16937902,16969741
16994789,17018551
17077185,17129855
17267466,17346291
17346311,17371599
17371619,17393322
17424461,17445800
17454881,17475751
